id,user_id,dept,role,context
1,1,HR,Manager,Context for employee 1
2,2,Engineering,Lead,Context for employee 2
3,3,Sales,Executive,Context for employee 3
4,4,Marketing,Intern,Context for employee 4
5,5,Finance,Manager,Context for employee 5
6,6,HR,Executive,Context for employee 6
7,7,Engineering,Intern,Context for employee 7
8,8,Sales,Lead,Context for employee 8
9,9,Marketing,Manager,Context for employee 9
10,10,Finance,Executive,Context for employee 10
11,11,HR,Intern,Context for employee 11
12,12,Engineering,Manager,Context for employee 12
13,13,Sales,Executive,Context for employee 13
14,14,Marketing,Lead,Context for employee 14
15,15,Finance,Intern,Context for employee 15
16,16,HR,Lead,Context for employee 16
17,17,Engineering,Executive,Context for employee 17
18,18,Sales,Manager,Context for employee 18
19,19,Marketing,Intern,Context for employee 19
20,20,Finance,Lead,Context for employee 20
21,21,HR,Executive,Context for employee 21
22,22,Engineering,Intern,Context for employee 22
23,23,Sales,Manager,Context for employee 23
24,24,Marketing,Executive,Context for employee 24
25,25,Finance,Lead,Context for employee 25
